rev_hdr_distinct,pr,rev_pld_max,rev_pld_mean,pld_mean,pld_bin_inf,rev_pld_distinct,dst_port,pld_median,hdr_mean,rev_hdr_bin_40,rev_pld_var,pld_distinct,pld_max,num_pkts_in,num_pkts_out,rev_pld_bin_128,bytes_out,hdr_bin_40,src_port,hdr_distinct,id,dns_query_cnt,http_method,http_code,http_content_len,tls_key_exchange_len,tls_svr_ext_cnt,tls_svr_cs_cnt,tls_ext_cnt,tls_cnt,tls_cs_cnt,tls_svr_key_exchange_len,tls_svr_cnt,dns_answer_cnt
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,49740,2,3601079,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,50282,2,6131470,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,562,112.4,134.4,0,2,443,0,22.4,1,224.8,2,672,5,5,4,672,1,61189,2,7462848,1.0,1.0,400.0,362.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,63402,2,6429640,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,388.6,24.0,0,4,80,0,22.4,1,546.78,2,120,5,5,2,120,1,51674,2,3267215,1.0,1.0,200.0,0.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,478,97.0,9.33,0,3,443,0,22.0,1,190.52,2,56,5,6,4,56,1,57339,2,3279246,1.0,1.0,502.0,360.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
0,6,0,0.0,307.0,1,0,50727,37,21.33,0,0.0,6,1460,0,9,0,2763,1,443,2,8738313,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1460,576.08,90.27,0,6,443,0,21.09,1,650.96,5,341,12,11,5,993,1,52338,2,5352360,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,7.0,1.0
0,17,0,0.0,19.0,0,0,5355,19,8.0,0,0.0,1,19,0,2,0,38,0,63611,1,3419758,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,6,0,0.0,0.0,0,0,8080,0,30.67,0,0.0,1,0,0,3,0,0,3,51202,2,5875253,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,323,71.78,171.44,1,2,46925,0,21.33,1,134.28,5,1033,9,9,7,1543,1,52043,2,7051456,1.0,1.0,200.0,8.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,118,16.38,17.25,0,4,9452,0,21.5,1,38.55,5,118,8,8,8,138,1,63071,2,152865,1.0,1.0,400.0,390.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,6,0,0.0,0.0,0,1,443,0,30.67,0,0.0,1,0,3,3,3,0,3,57146,2,7721842,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,343,343.0,45.0,0,1,53,45,8.0,0,0.0,1,45,1,1,0,45,0,53051,1,2360909,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,9.0
2,6,480,121.75,11.2,0,3,443,0,22.4,1,206.86,2,56,4,5,3,56,1,51773,2,5274853,1.0,1.0,502.0,362.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,6.0,1.0
2,6,1420,301.6,66.0,0,7,443,0,20.92,0,492.55,5,494,15,13,10,858,1,53028,2,849361,1.0,1.0,502.0,361.0,66.0,4.0,1.0,10.0,5.0,15.0,0.0,3.0,1.0
2,6,157,52.2,8.8,0,3,80,0,22.4,1,66.09,2,44,5,5,4,44,1,49990,2,252827,1.0,1.0,200.0,104.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
1,17,205,154.0,44.5,0,2,53,42,8.0,0,51.0,2,47,2,2,1,89,0,55159,1,3448962,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,2.0
0,17,0,0.0,175.0,0,0,1900,175,8.0,0,0.0,1,175,0,4,0,700,0,59359,1,160956,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,478,121.25,18.0,0,3,443,0,22.4,1,205.99,2,90,4,5,3,90,1,49471,2,3427101,1.0,1.0,502.0,360.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,125.75,0,0,1900,132,8.0,0,0.0,4,137,0,4,0,503,0,54931,1,8395380,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
0,17,0,0.0,172.0,0,0,1900,172,8.0,0,0.0,1,172,0,4,0,688,0,60497,1,3112840,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,1.0
2,6,1420,1108.12,31.27,0,28,443,0,20.24,0,528.88,7,629,144,51,23,1595,1,59267,2,7117208,1.0,1.0,502.0,361.0,0.0,1.0,1.0,9.0,6.0,15.0,0.0,19.0,1.0
1,17,148,148.0,66.0,0,1,53,66,8.0,0,0.0,1,66,1,1,0,66,0,55950,1,6725543,1.0,1.0,502.0,361.0,0.0,1.0,1.0,2.0,1.0,12.0,0.0,6.0,0.0
2,6,1460,573.0,85.83,0,6,443,0,21.0,1,653.14,5,341,12,12,6,1030,1,57129,2,1536730,1.0,1.0,502.0,361.0,66.0,1.0,1.0,3.0,7.0,12.0,0.0,7.0,1.0
2,6,1420,683.9,35.24,0,14,443,0,20.48,0,664.76,8,285,41,25,17,881,1,52954,2,8206507,1.0,1.0,502.0,361.0,66.0,4.0,1.0,9.0,9.0,15.0,0.0,6.0,1.0
